"Họ tên","Học hàm/Học vị","Chuyên khoa","Cơ sở y tế","Đánh giá","Đường dẫn hồ sơ"
"Trần Thị Thanh Hương","Phó giáo sư, Tiến sĩ","Di truyền y học","Khoa Di truyền Y học và Bệnh hiếm - Bệnh viện Đa khoa Quốc tế Vinmec Times City","N/A","/vie/chuyen-gia-y-te/tran-thi-thanh-huong-51849-vi"
"Lê Trần Ngoan","Phó giáo sư, Tiến sĩ","Nghiên cứu khoa học","Hệ thống Y tế Vinmec","N/A","/vie/chuyen-gia-y-te/le-tran-ngoan"
"Nguyễn Văn Phan","Thầy thuốc ưu tú, Phó giáo sư, Tiến sĩ","Ngoại Tim mạch","Trung tâm Tim mạch - Bệnh viện Đa khoa Quốc tế Vinmec Central Park","N/A","/vie/chuyen-gia-y-te/nguyen-van-phan-51597-vi"
"Phạm Văn Năng","Phó giáo sư, Tiến sĩ","N/A","Bệnh viện Đa khoa Vinmec Cần Thơ","N/A","/vie/chuyen-gia-y-te/pham-van-nang"
"Huỳnh Thoại Loan","Phó giáo sư, Tiến sĩ","Nhi","Khoa Nhi - Sơ sinh, Bệnh viện Đa khoa Quốc tế Vinmec Central Park","N/A","/vie/chuyen-gia-y-te/huynh-thoai-loan-51048-vi"
"Nguyễn Viết Nhân","Phó giáo sư, Tiến sĩ","Di truyền y học","Bệnh viện Đa khoa Quốc tế Vinmec Times City","N/A","/vie/chuyen-gia-y-te/nguyen-viet-nhan-51242-vi"
"Trần Ngọc Sơn","Phó giáo sư, Tiến sĩ","Nhi","Bệnh viện Đa khoa Vinmec Smart City","N/A","/vie/chuyen-gia-y-te/tran-ngoc-son"
"Trần Văn Công","Tiến sĩ","Phẫu thuật U xương và phần mềm","Trung tâm Cơ xương khớp và Chấn thương chỉnh hình - Bệnh viện Đa khoa Quốc tế Vinmec Times City","5/5","/vie/chuyen-gia-y-te/tran-van-cong-51520-vi"
"Đoàn Đức Dũng","Tiến sĩ, Bác sĩ nội trú","Tim mạch","Trung Tâm Tim Mạch - Bệnh viện Đa khoa Quốc tế Vinmec Times City","5/5","/vie/chuyen-gia-y-te/doan-duc-dung-51741-vi"
"Nguyễn Đắc Nghĩa","Tiến sĩ","Ngoại chấn thương chỉnh hình","Khoa Ngoại tổng hợp - Bệnh viện Đa khoa Quốc tế Vinmec Times City","5/5","/vie/chuyen-gia-y-te/nguyen-dac-nghia-892-vi"
"Trần Mạnh Linh","Tiến sĩ","Sản phụ khoa","Khoa Sản phụ khoa - Bệnh viện Đa khoa Vinmec Hạ Long","5/5","/vie/chuyen-gia-y-te/tran-manh-linh-51627-vi"
"Trương Đình Khôi","Tiến sĩ","Tiêu hóa","Bệnh viện Đa khoa Vinmec Nha Trang","5/5","/vie/chuyen-gia-y-te/truong-dinh-khoi"
"Nguyễn Hữu Mạnh","Tiến sĩ","Ngoại chấn thương chỉnh hình","Bệnh viện Đa khoa Vinmec Hải Phòng","4.9/5","/vie/chuyen-gia-y-te/nguyen-huu-manh-51516-vi"
"Trần Thị Phương Thúy","Tiến sĩ","Gan - Mật - Tụy","Khoa Nội tổng hợp - Bệnh viện Đa khoa Quốc tế Vinmec Times City","4.9/5","/vie/chuyen-gia-y-te/tran-thi-phuong-thuy-4282-vi"
"Nguyễn Hồng Sơn","Tiến sĩ","Tim mạch","Khoa Khám bệnh - Bệnh viện Đa khoa Quốc tế Vinmec Times City","4.9/5","/vie/chuyen-gia-y-te/nguyen-hong-son-51468-vi"
"Bùi Chí Nam","Tiến sĩ","Nội Tiêu hoá - Nội soi","Khoa Nội Tiêu hóa - Gan mật - Bệnh viện Đa khoa Quốc tế Vinmec Times City","4.9/5","/vie/chuyen-gia-y-te/bui-chi-nam-2955-vi"
"Tô Minh Hương","Tiến sĩ","Hỗ trợ sinh sản","Trung tâm Sức khỏe phụ nữ - Bệnh viện Đa khoa Quốc tế Vinmec Times City","4.9/5","/vie/chuyen-gia-y-te/to-minh-huong-893-vi"
"Trần Hoàng Ngọc Anh","Tiến sĩ","Thần kinh","Khoa Ngoại tổng hợp - Bệnh viện Đa khoa Quốc tế Vinmec Central Park","4.9/5","/vie/chuyen-gia-y-te/tran-hoang-ngoc-anh-51442-vi"
"Trương Ngọc Hải","Tiến sĩ","Nội tổng quát","Khoa Khám bệnh & Nội khoa - Bệnh viện Đa khoa Quốc tế Vinmec Central Park","4.9/5","/vie/chuyen-gia-y-te/truong-ngoc-hai-51909-vi"
"Phạm Thị Việt Hương","Tiến sĩ","Ung bướu - Xạ trị","Bệnh viện Đa khoa Vinmec Smart City","4.9/5","/vie/chuyen-gia-y-te/pham-thi-viet-huong-51388-vi"
"Lê Thị Hường","Tiến sĩ","Khám sức khỏe tổng quát","Khoa Khám bệnh - Bệnh viện Đa khoa Quốc tế Vinmec Times City","4.9/5","/vie/chuyen-gia-y-te/le-thi-huong-51335-vi"
"Nguyễn Thanh Quân","Tiến sĩ","Tiêu hóa","Bệnh viện Đa khoa Vinmec Cần Thơ","4.9/5","/vie/chuyen-gia-y-te/nguyen-thanh-quan-vi"
"Đào Đức Dũng","Tiến sĩ, Thạc sĩ","Gan - Mật - Tụy","Khoa Ngoại Tiêu hóa - Gan mật - Tiết niệu - Bệnh viện Đa khoa Quốc tế Vinmec Times City","4.9/5","/vie/chuyen-gia-y-te/dao-duc-dung-50810-vi"
"Chu Thanh Sơn","Tiến sĩ","Nhi","Bệnh viện Đa khoa Vinmec Smart City","4.8/5","/vie/chuyen-gia-y-te/chu-thanh-son"
"Trần Minh Hà","Tiến sĩ, Bác sĩ nội trú","Mắt","Trung tâm Mắt Vinmec-Alina, Bệnh viện ĐKQT Vinmec Times City","4.8/5","/vie/chuyen-gia-y-te/tran-minh-ha-51815-vi"
"Phùng Tuyết Lan","Tiến sĩ","Nội nhi","Trung tâm Nhi - Bệnh viện Đa khoa Quốc tế Vinmec Times City","4.8/5","/vie/chuyen-gia-y-te/phung-tuyet-lan-50910-vi"
"Tôn Thất Trí Dũng","Tiến sĩ","Nội Thần kinh","Khoa Khám bệnh & Nội khoa - Bệnh viện Đa khoa Vinmec Đà Nẵng","4.8/5","/vie/chuyen-gia-y-te/ton-that-tri-dung-51277-vi"
"Đào Thị Mai Lan","Tiến sĩ","Nghiên cứu khoa học","Viện nghiên cứu Tế bào gốc và Công nghệ gen Vinmec","N/A","/vie/chuyen-gia-y-te/dao-thi-mai-lan-51224-vi"
"Đàm Thị Minh Phương","Tiến sĩ","Sản xuất tế bào","Khối Sản xuất Tế bào, Trung tâm Công nghệ Cao Vinmec","N/A","/vie/chuyen-gia-y-te/dam-thi-minh-phuong-51225-vi"
"Nguyễn Văn Hùng","Tiến sĩ","Huyết học - Truyền Máu","Bệnh viện Đa khoa Quốc tế Vinmec Ocean Park 2","N/A","/vie/chuyen-gia-y-te/nguyen-van-hung-2"
"Vũ Thành Lâm","Tiến sĩ, Bác sĩ nội trú","Gây mê","Bệnh viện Đa khoa Quốc tế Vinmec Times City","N/A","/vie/chuyen-gia-y-te/vu-thanh-lam"
"Thân Thị Trang Uyên","Tiến sĩ","Nghiên cứu khoa học","Viện nghiên cứu Tế bào gốc và Công nghệ gen Vinmec","N/A","/vie/chuyen-gia-y-te/than-thi-trang-uyen-51222-vi"
"Hoàng Minh Đức","Tiến sĩ","Nghiên cứu khoa học","Viện nghiên cứu Tế bào gốc và Công nghệ gen Vinmec","N/A","/vie/chuyen-gia-y-te/hoang-minh-duc-51219-vi"
"Võ Văn Đức","Tiến sĩ, Bác sĩ chuyên khoa I, Thạc sĩ","Sản phụ khoa","Bệnh viện Đa khoa Vinmec Nha Trang","N/A","/vie/chuyen-gia-y-te/vo-van-duc"
"Lê Thiện Thái","Tiến sĩ","Khoa Sản","Trung tâm Sức khỏe phụ nữ - Bệnh viện Đa khoa Quốc tế Vinmec Times City","N/A","/vie/chuyen-gia-y-te/le-thien-thai-51825-vi"
"Nguyễn Xuân Hưng","Tiến sĩ","Sản xuất tế bào","N/A","N/A","/vie/chuyen-gia-y-te/nguyen-xuan-hung-51176-vi"
"Dương Thị Hoan","Tiến sĩ, Bác sĩ nội trú","Hồi sức ngoại và Ghép tạng","Bệnh viện Đa khoa Quốc tế Vinmec Times City","N/A","/vie/chuyen-gia-y-te/duong-thi-hoan"
"Nguyễn Thị Mai Loan","Tiến sĩ","Dược","Bệnh viện Đa khoa Vinmec Hải Phòng","N/A","/vie/chuyen-gia-y-te/nguyen-thi-mai-loan"
"Đồng Phạm Cường","Tiến sĩ","Thần kinh","Bệnh viện Đa khoa Quốc tế Vinmec Times City","N/A","/vie/chuyen-gia-y-te/dong-pham-cuong"
"Lê Nguyễn Trọng Nhân","Tiến sĩ","Khoa Sản","Bệnh viện Đa khoa Vinmec Cần Thơ","N/A","/vie/chuyen-gia-y-te/le-nguyen-trong-nhan"
"Bùi Tiến Hùng","Tiến sĩ","Y học cổ truyền","Bệnh viện Đa khoa Vinmec Smart City","N/A","/vie/chuyen-gia-y-te/bui-tien-hung"
"Ngô Văn Đoan","Tiến sĩ","Chẩn đoán hình ảnh","Trung tâm Chẩn đoán hình ảnh và Điện quang can thiệp - Bệnh viện Đa khoa Quốc tế Vinmec Times City","N/A","/vie/chuyen-gia-y-te/ngo-van-doan-902-vi"
"Đoàn Thành Nhân","Tiến sĩ","Phục hồi chức năng","Khoa Ngoại tổng hợp - Bệnh viện Đa khoa Vinmec Đà Nẵng","N/A","/vie/chuyen-gia-y-te/doan-thanh-nhan"
"Lê Minh Sơn","Tiến sĩ","Ngoại Tiêu hoá","Bệnh viện Đa khoa Vinmec Hải Phòng","N/A","/vie/chuyen-gia-y-te/le-minh-son-1"
"Trần Thị Thu Hiền","Tiến sĩ, Bác sĩ nội trú","Tai - Mũi - Họng","Bệnh viện Đa khoa Quốc tế Vinmec Times City","N/A","/vie/chuyen-gia-y-te/tran-thi-thu-hien-1"
"Bùi Thế Anh","Thầy thuốc ưu tú, Tiến sĩ","Tai - Mũi - Họng","Bệnh viện Đa khoa Quốc tế Vinmec Times City","N/A","/vie/chuyen-gia-y-te/bui-the-anh"
"Nguyễn Hữu Dũng","Tiến sĩ","Tai - Mũi - Họng","Bệnh viện Đa khoa Quốc tế Vinmec Central Park","N/A","/vie/chuyen-gia-y-te/nguyen-huu-dung"
"Phan Quỳnh Lan","Tiến sĩ","Dược","Khoa Dược - Bệnh viện Đa khoa Quốc tế Vinmec Times City","N/A","/vie/chuyen-gia-y-te/phan-quynh-lan-888-vi"
"Quách Hữu Trung","Thầy thuốc ưu tú, Tiến sĩ","Nội Tim mạch","Bệnh viện Đa khoa Vinmec Đà Nẵng","N/A","/vie/chuyen-gia-y-te/quach-huu-trung"
"Nguyễn Văn Tình","Tiến sĩ","Ngân hàng mô","Ngân hàng mô Vinmec","N/A","/vie/chuyen-gia-y-te/nguyen-van-tinh-51420-vi"
"Nguyễn Lê Hoa","Tiến sĩ","Tai - Mũi - Họng","Bệnh viện Đa khoa Vinmec Smart City","N/A","/vie/chuyen-gia-y-te/nguyen-le-hoa"
"Mai Đức Hùng","Tiến sĩ, Bác sĩ chuyên khoa II","N/A","Bệnh viện Đa khoa Quốc tế Vinmec Central Park","N/A","/vie/chuyen-gia-y-te/mai-duc-hung"
"Ngô Duy Minh","Tiến sĩ, Bác sĩ nội trú","Ngoại nhi","Bệnh viện Đa khoa Quốc tế Vinmec Times City","N/A","/vie/chuyen-gia-y-te/ngo-duy-minh"
"Lê Duy Cường","Tiến sĩ","Hoá sinh","Bệnh viện Đa khoa Vinmec Phú Quốc","N/A","/vie/chuyen-gia-y-te/le-duy-cuong"
"Đoàn Thị Hồng Hạnh","Thầy thuốc ưu tú, Tiến sĩ","Xét nghiệm","Khoa Xét nghiệm - Bệnh viện Đa khoa Vinmec Hạ Long","N/A","/vie/chuyen-gia-y-te/doan-thi-hong-hanh-1"
"Nguyễn Đăng Tuân","Tiến sĩ","Hồi sức - Cấp cứu","Bệnh viện Đa khoa Vinmec Smart City","N/A","/vie/chuyen-gia-y-te/nguyen-dang-tuan-51111-vi"
"Trần Như Tú","Tiến sĩ","Chẩn đoán hình ảnh","Khoa Chẩn đoán hình ảnh - Bệnh viện Đa khoa Vinmec Đà Nẵng","N/A","/vie/chuyen-gia-y-te/tran-nhu-tu-51090-vi"
"Nguyễn Thu Hương","Tiến sĩ","Khoa Vú","Bệnh lý Vú - Bệnh viện Đa khoa Quốc tế Vinmec Times City","N/A","/vie/chuyen-gia-y-te/nguyen-thu-huong-51389-vi"
"Lý Thị Thanh Hà","Tiến sĩ","Di truyền y học","Khoa Di truyền Y học và Bệnh hiếm - Bệnh viện Đa khoa Quốc tế Vinmec Times City","N/A","/vie/chuyen-gia-y-te/ly-thi-thanh-ha-51855-vi"
"Nguyễn Đình Dũng","Tiến sĩ","Di truyền y học","Khoa Di truyền Y học và Bệnh hiếm - Bệnh viện Đa khoa Quốc tế Vinmec Times City","N/A","/vie/chuyen-gia-y-te/nguyen-dinh-dung-51850-vi"
"Trần Thị Thanh Huyền","Tiến sĩ","Kiểm soát chất lượng","Phòng QC và Tiêu chuẩn Chất lượng","N/A","/vie/chuyen-gia-y-te/tran-thi-thanh-huyen-51842-vi"
"Hoàng Trần Thanh","Tiến sĩ","N/A","Bệnh viện Đa khoa Quốc tế Vinmec Times City","N/A","/vie/chuyen-gia-y-te/hoang-tran-thanh"
"Trương Công Duẩn","Tiến sĩ","Huyết học - Truyền Máu","Khoa Xét nghiệm - Bệnh viện Đa khoa Quốc tế Vinmec Times City","N/A","/vie/chuyen-gia-y-te/truong-cong-duan-51042-vi"
"Nguyễn Hồng Thanh","Tiến sĩ","Di truyền y học","Khoa Di truyền Y học và Bệnh hiếm - Bệnh viện Đa khoa Quốc tế Vinmec Times City","N/A","/vie/chuyen-gia-y-te/nguyen-hong-thanh-51851-vi"
"Trần Hữu Đạt","Tiến sĩ","Phục hồi chức năng","Bệnh viện Đa khoa Vinmec Smart City","N/A","/vie/chuyen-gia-y-te/tran-huu-dat"
"Đặng Quang Huy","Tiến sĩ","Phẫu thuật Tim Mạch - Lồng Ngực","Bệnh viện Đa khoa Vinmec Smart City","N/A","/vie/chuyen-gia-y-te/dang-quang-huy-51808-vi"
"Cao Thị Anh Đào","Tiến sĩ","Gây mê","Trung tâm Y học tái tạo & Trị liệu tế bào","N/A","/vie/chuyen-gia-y-te/cao-thi-anh-dao-51024-vi"
"Trần Nguyễn Tuấn Minh","Tiến sĩ, Bác sĩ nội trú","Can thiệp mạch não","Bệnh viện Đa khoa Vinmec Đà Nẵng","N/A","/vie/chuyen-gia-y-te/tran-nguyen-tuan-minh"
"Hồ Thị Thanh Tâm","Tiến sĩ","Hỗ trợ sinh sản","Đơn vị hỗ trợ sinh sản Olea - Bệnh viện Đa khoa Vinmec Nha Trang","N/A","/vie/chuyen-gia-y-te/ts-bs-ho-thi-thanh-tam"
"Phùng Nam Lâm","Tiến sĩ","Hồi sức - Cấp cứu","Hệ thống Y tế Vinmec","N/A","/vie/chuyen-gia-y-te/phung-nam-lam-50786-vi"
"Khổng Nam Hương","Thầy thuốc ưu tú, Tiến sĩ","Tim mạch","Bệnh viện Đa khoa Vinmec Smart City","N/A","/vie/chuyen-gia-y-te/khong-nam-huong"
"Hoàng Thanh Vân","Tiến sĩ","Nghiên cứu khoa học","Viện nghiên cứu Tế bào gốc và Công nghệ gen Vinmec","N/A","/vie/chuyen-gia-y-te/hoang-thanh-van-51227-vi"
"Nguyễn Đức Hòa","Bác sĩ chuyên khoa II","Ngoại chấn thương chỉnh hình","Bệnh viện Đa khoa Vinmec Hạ Long","5/5","/vie/chuyen-gia-y-te/nguyen-duc-hoa"
"Quách Nguyễn Thu Thủy","Bác sĩ chuyên khoa II","Nhi","Trung tâm Nhi - Bệnh viện Đa khoa Quốc tế Vinmec Times City","5/5","/vie/chuyen-gia-y-te/quach-nguyen-thu-thuy-51823-vi"
"Châu Thị Thúy","Bác sĩ chuyên khoa II","Khoa Sản","Khoa Sản phụ khoa - Bệnh viện Đa khoa Quốc tế Vinmec Central Park","5/5","/vie/chuyen-gia-y-te/chau-thi-thuy"
"Thái Bằng","Thạc sĩ, Bác sĩ chuyên khoa II","Sản phụ khoa","Khoa Sản phụ khoa - Bệnh viện Đa khoa Vinmec Smart City","5/5","/vie/chuyen-gia-y-te/thai-bang-50843-vi"
"Đỗ Thị Ngọc Lan","Bác sĩ chuyên khoa II","Khoa Phụ","N/A","5/5","/vie/chuyen-gia-y-te/do-thi-ngoc-lan-50852-vi"
"Nguyễn Chí Quang","Bác sĩ chuyên khoa II","Sản phụ khoa","Khoa Sản phụ khoa - Bệnh viện Đa khoa Quốc tế Vinmec Central Park","5/5","/vie/chuyen-gia-y-te/nguyen-chi-quang-50831-vi"
"Nguyễn Anh Quân","Bác sĩ chuyên khoa II","Tim mạch","Trung Tâm Tim Mạch - Bệnh viện Đa khoa Quốc tế Vinmec Times City","5/5","/vie/chuyen-gia-y-te/nguyen-anh-quan"
"Nguyễn Thu Hoài","Bác sĩ chuyên khoa II","Khoa Phụ","Trung tâm Sức khỏe phụ nữ - Bệnh viện Đa khoa Quốc tế Vinmec Times City","5/5","/vie/chuyen-gia-y-te/nguyen-thu-hoai-50818-vi"
"Nguyễn Duy Quang","Thạc sĩ, Bác sĩ chuyên khoa II","Khoa Sản","Khoa Sản phụ khoa - Bệnh viện Đa khoa Vinmec Smart City","5/5","/vie/chuyen-gia-y-te/nguyen-duy-quang"
"Trần Ngọc Thanh","Bác sĩ chuyên khoa II","Khoa Sản","Bệnh viện Đa khoa Vinmec Cần Thơ","5/5","/vie/chuyen-gia-y-te/tran-ngoc-thanh"
"Nguyễn Ngọc Tuyển","Bác sĩ chuyên khoa I","Hồi sức - Cấp cứu","Bệnh viện Đa khoa Quốc tế Vinmec Hạ Long","5/5","/vie/chuyen-gia-y-te/nguyen-ngoc-tuyen"
