"Họ tên","Học hàm/Học vị","Chuyên khoa","Cơ sở y tế","Đánh giá","Đường dẫn hồ sơ"
"Phạm Vũ Hiệp","Thạc sĩ","Nội tiết","Bệnh lý Tuyến giáp - Bệnh viện Đa khoa Quốc tế Vinmec Times City","5/5","/vie/chuyen-gia-y-te/pham-vu-hiep-51736-vi"
"Trần Tuyết Thanh Hải","Thạc sĩ","Phẫu thuật U xương và phần mềm","Trung tâm Cơ xương khớp và Chấn thương chỉnh hình - Bệnh viện Đa khoa Quốc tế Vinmec Times City","5/5","/vie/chuyen-gia-y-te/tran-tuyet-thanh-hai-51676-vi"
"Nguyễn Thị Xuyến","Thạc sĩ","Hỗ trợ sinh sản","Trung tâm Sức khỏe phụ nữ - Bệnh viện Đa khoa Quốc tế Vinmec Times City","5/5","/vie/chuyen-gia-y-te/nguyen-thi-xuyen-51363-vi"
"Đinh Thị Hiền Lê","Thạc sĩ","Khoa Y học bào thai","Trung tâm Sức khỏe phụ nữ - Bệnh viện Đa khoa Quốc tế Vinmec Times City","5/5","/vie/chuyen-gia-y-te/dinh-thi-hien-le"
"Vũ Bích Phương","Thạc sĩ","Hỗ trợ sinh sản","Trung tâm Sức khỏe phụ nữ - Bệnh viện Đa khoa Quốc tế Vinmec Times City","5/5","/vie/chuyen-gia-y-te/vu-bich-phuong-51622-vi"
"Lê Thị Minh Hường","Thạc sĩ","Hồi sức - Cấp cứu","Khoa Cấp cứu - Vận chuyển Quốc tế - Bệnh viện Đa khoa Vinmec Nha Trang","5/5","/vie/chuyen-gia-y-te/le-thi-minh-huong-51284-vi"
"Nguyễn Trung Thành","Bác sĩ chuyên khoa II","Gây mê - điều trị đau","Khoa Gây mê Phẫu thuật - Bệnh viện Đa khoa Quốc tế Vinmec Central Park","4.9/5","/vie/chuyen-gia-y-te/nguyen-trung-thanh-7432-vi"
"Lê Hữu Đồng","Bác sĩ chuyên khoa II","Nội Tim mạch","Khoa Khám bệnh & Nội khoa - Bệnh viện Đa khoa Vinmec Nha Trang","4.9/5","/vie/chuyen-gia-y-te/le-huu-dong-24449-vi"
"Lương Văn Đến","Bác sĩ chuyên khoa II","Nội tổng quát","Bệnh viện Đa khoa Vinmec Cần Thơ","4.9/5","/vie/chuyen-gia-y-te/luong-van-den"
"Tạ Quốc Bản","Bác sĩ chuyên khoa II","Sản phụ khoa","Khoa Sản phụ khoa - Bệnh viện Đa khoa Vinmec Đà Nẵng","4.9/5","/vie/chuyen-gia-y-te/ta-quoc-ban-50988-vi"
"Vũ Tú Nam","Bác sĩ chuyên khoa II","Ngoại chấn thương chỉnh hình","Bệnh viện Đa khoa Vinmec Smart City","4.9/5","/vie/chuyen-gia-y-te/vu-tu-nam-51518-vi"
"Đặng Xuân Tùng","Bác sĩ chuyên khoa II","Ngoại Thận - Tiết niệu","Khoa Ngoại tổng hợp & Gây mê - Bệnh viện Đa khoa Vinmec Hải Phòng","4.9/5","/vie/chuyen-gia-y-te/dang-xuan-tung-51522-vi"
"Nguyễn Trần Quang Sáng","Bác sĩ chuyên khoa II","Cơ xương khớp","Trung tâm Cơ xương khớp và Chấn thương chỉnh hình - Bệnh viện Đa khoa Quốc tế Vinmec Times City","4.9/5","/vie/chuyen-gia-y-te/nguyen-tran-quang-sang-51510-vi"
"Phạm Trung Hiếu","Bác sĩ chuyên khoa II","Phẫu thuật chi dưới","Trung tâm Cơ xương khớp và Chấn thương chỉnh hình - Bệnh viện Đa khoa Quốc tế Vinmec Times City","4.9/5","/vie/chuyen-gia-y-te/pham-trung-hieu-51513-vi"
"Trần Khắc Điền","Bác sĩ chuyên khoa II, Bác sĩ cao cấp","Truyền nhiễm","Khoa Khám bệnh - Bệnh viện Đa khoa Quốc tế Vinmec Times City","4.9/5","/vie/chuyen-gia-y-te/tran-khac-dien-51189-vi"
