speciality_id,speciality_name,diseases
14,Nội thần kinh,Bệnh Alzheimer|Bệnh Parkinson|Bệnh sa sút trí tuệ (Dementia)|Bệnh hạch nền|Bệnh hay quên|Bệnh liệt mặt|Bệnh Meniere|Bệnh não Wernicke do rượu|Bệnh tế bào thần kinh vận động|Chèn ép dây thần kinh thẹn|Chóng mặt kịch phát lành tính|Lao hệ thần kinh|Liệt nửa người|Mất trí nhớ|Rối loạn thần kinh thực vật|Rối loạn tiền đình|Viêm não màng não tiên phát do amip|Nhiễm khuẩn huyết não mô cầu|Bệnh Moyamoya
82,Nội Thận - Tiết niệu,Bàng quang tăng hoạt|Hẹp động mạch thận|Són tiểu|Suy thận|Suy thận cấp|Suy thận mạn|Viêm bàng quang|Viêm bàng quang cấp|Viêm cầu thận|Lao hệ tiết niệu sinh dục|Bệnh protein niệu thai kỳ
18,Nội tiết,Bệnh Addison (suy tuyến thượng thận nguyên phát)|Bệnh Basedow|Suy giáp|Rối loạn nội tiết tố|Bệnh Gai đen|Hạ canxi máu|Bệnh hạ đường huyết|Dậy thì muộn|Dậy thì sớm|Dậy thì sớm ở nam|Mãn kinh sớm|U tuyến thượng thận|Bệnh u tuyến yên|Tăng tiết mồ hôi|Hạ kali máu|Phì đại âm vật
83,Nội Tiêu hoá,Bệnh Crohn|Bệnh do amip|Bệnh do Cryptosporidium|Bệnh Nang tụy|Bệnh Não gan (hôn mê gan)|Co thắt thực quản|Giãn ống dẫn sữa|Không dung nạp Lactose|Nhiễm Giardia|Polyp ống tiêu hóa|Rối loạn gan|Rối loạn tiêu hóa|Bệnh Táo bón|Bệnh liệt ruột|Viêm gan A|Viêm gan B|Viêm gan E|Viêm loét dạ dày|Bệnh Xơ gan mất bù|Sa trực tràng|Ngộ độc thực phẩm|Bệnh tả
84,Nội Tim mạch,Bệnh Cơ tim|Bệnh cơ tim phì đại|Bệnh mạch vành|Bệnh Xơ vữa động mạch|Hạ huyết áp tư thế đứng|Ngoại tâm thu thất|Rối loạn nhịp tim|Bệnh Suy tim|Suy tim cấp|Suy tim trái|Tăng huyết áp|Tăng huyết áp nguyên phát|Tăng huyết áp thứ phát|Viêm cơ tim|Bệnh thấp tim|Hẹp động mạch thận
129,"Phòng khám Tiền mãn kinh, mãn kinh",Mãn kinh sớm|Bệnh suy buồng trứng|Loãng xương
9,Phục hồi chức năng,Bại não|Liệt nửa người|Bệnh liệt mặt|Chóng mặt kịch phát lành tính|Câm|Chậm nói|Bệnh vẹo cột sống|Bàn chân phẳng
6,Răng - Hàm - Mặt,Bệnh lệch khớp cắn|Bệnh mòn răng|Bệnh nha chu|Chấn thương hàm mặt|Hở hàm ếch|Sâu răng|U tuyến nước bọt
86,Sản phụ khoa,Bệnh viêm buồng trứng|Bệnh xoắn buồng trứng|Chửa ở vết mổ|Hở eo tử cung|Lạc nội mạc tử cung|Nhau bong non|Nhau cài răng lược|Nhau tiền đạo|Nhiễm khuẩn hậu sản|Polyp cổ tử cung|Bệnh protein niệu thai kỳ|Bệnh Rỉ ối|Bệnh Rong kinh|Sa sinh dục|Sinh non|Suy thai|Suy thai trong tử cung|Tắc mạch ối|Tắc tia sữa|Tắc vòi trứng|Tắc ống dẫn trứng|Tăng huyết áp thai kỳ|Thai chậm phát triển trong tử cung|Thai chết lưu|Thai ngoài tử cung|Thai trứng (chửa trứng)|U nang buồng trứng|U xơ tử cung|Viêm âm đạo|Ung thư âm đạo|Ung thư âm hộ|Bệnh Sùi mào gà|Mụn rộp sinh dục|Nang tuyến Bartholin (viêm tuyến Bartholin)|Áp xe vú|Giãn ống dẫn sữa|Phì đại âm vật
21,Tai - Mũi - Họng,Bạch hầu|Bạch hầu thanh quản|Bệnh Meniere|Bệnh nấm thanh quản|Bệnh ù tai|Hẹp thanh quản|Liệt cơ mở thanh quản|Mất khứu giác|Mất thính lực (điếc tai)|Phì đại cuốn mũi|Polyp mũi|Polyp thanh quản|U tuyến nước bọt|U xơ vòm mũi họng|Ung thư amidan|Ung thư biểu mô mũi họng|Viêm amidan|Viêm họng cấp|Viêm họng mãn tính|Bệnh Lao thanh quản
130,Tai mũi họng nhi,Hẹp thanh quản
40,Tâm lý,Ám ảnh sợ hãi|Bệnh ấu dâm|Chán ăn thần kinh (biếng ăn tâm lý)|Nghiện game|Rối loạn hoảng sợ|Rối loạn tăng động giảm chú ý (ADHD)
4,Tâm thần,Nghiện ma túy|Rối loạn lưỡng cực|Mất ngủ|Mất ngủ mãn tính|Hội chứng jet lag
50,Tiêm chủng vắc xin,Bạch hầu|Bệnh Dại|Bệnh ho gà|Bệnh quai bị|Bệnh Rubella|Bệnh sởi|Bại liệt|Bệnh than|Viêm gan A|Viêm gan B
95,Trung tâm bệnh lý Vú,Áp xe vú|Bệnh lao vú|Giãn ống dẫn sữa|Tắc tia sữa
139,Trung tâm Ung bướu,AIDS|Bệnh bạch cầu cấp|Leukemia kinh dòng bạch cầu hạt|Rối loạn sinh tủy (MDS)|U lympho không Hodgkin|U lympho tế bào T|U màng não|U não|U nguyên bào thần kinh|U nguyên bào võng mạc|Ung thư âm đạo|Ung thư âm hộ|Ung thư amidan|Ung thư bàng quang|Ung thư biểu mô mũi họng|Ung thư biểu mô tế bào vảy|U xương ác tính|U tim
19,Truyền nhiễm,AIDS|Ấu trùng sán lợn|Babesia (nhiễm trùng do Babesia)|Bệnh Dịch hạch|Bệnh do amip|Bệnh do Cryptosporidium|Bệnh giời leo|Bệnh giun chỉ|Nhiễm giun kim|Bệnh Giun móc|Nhiễm giun tóc|Bệnh lậu|Bệnh Legionnaire|Bệnh phong|Bệnh sốt rét|Bệnh tả|Cúm|Nhiễm Echinococcus|Nhiễm Giardia|Nhiễm HIV|Nhiễm khuẩn huyết não mô cầu|Nhiễm lậu cầu|Nhiễm Leptospira|Nhiễm nấm Candida|Nhiễm Nocardia|Sốt phát ban|Sốt siêu vi|Sốt ve mò|Bệnh Sùi mào gà|Bệnh than|Mụn rộp sinh dục|Bệnh Dại|Bệnh chân voi
119,Y học Giấc ngủ,Mất ngủ|Mất ngủ mãn tính|Hội chứng jet lag|Bệnh Ngủ ngáy|Hội chứng ngừng thở khi ngủ
43,"Y học tái tạo (Tự kỷ bại não, Tế bào gốc)",Bại não|Bệnh loạn dưỡng cơ Duchenne|Thalassemia (Tan máu bẩm sinh)
